307200,-2930.509470135495
Saving model weights at episode 25 with average episode reward -2930.509470135495
614400,-2622.1594425082462
Saving model weights at episode 50 with average episode reward -2622.1594425082462
921600,-2307.9766327520765
Saving model weights at episode 75 with average episode reward -2307.9766327520765
1228800,-1956.1171995459456
Saving model weights at episode 100 with average episode reward -1956.1171995459456
1536000,-1997.8585665301462
1843200,-2102.842580040864
2150400,-2153.14914018773
2457600,-1927.6290142947078
Saving model weights at episode 200 with average episode reward -1927.6290142947078
2764800,-1855.992857237704
Saving model weights at episode 225 with average episode reward -1855.992857237704
3072000,-2023.9238788466125
3379200,-2283.9097293978166
3686400,-1885.2869240556292
3993600,-2104.0405824465906
4300800,-2342.1753064362333
4608000,-1989.4305845323372
4915200,-1845.2601754489633
Saving model weights at episode 400 with average episode reward -1845.2601754489633
5222400,-2236.7532958685424
5529600,-2213.1534703711413
5836800,-2237.4132530766324
6144000,-2115.3522289187003
6451200,-2179.227200468528
6758400,-1763.9696304966953
Saving model weights at episode 550 with average episode reward -1763.9696304966953
7065600,-2032.5952956665158
7372800,-2438.2863691606935
7680000,-1979.1458263297864
7987200,-1888.097197831973
8294400,-2229.1247708022274
8601600,-1827.2789303597372
8908800,-2296.7357397360406
9216000,-2187.5553125399892
9523200,-2010.3498777461734
9830400,-1839.4757343304004
10137600,-2235.643272805693
10444800,-1957.3633467107409
10752000,-1916.8880974916651
11059200,-1895.1860204436202
11366400,-2221.836677501788
11673600,-2228.2177616496283
11980800,-2023.817109671615
12288000,-2350.023333995103
12595200,-2148.613801802983
12902400,-2198.988520029573
13209600,-2077.989875884823
13516800,-2051.3004939603757
13824000,-1774.898974222968
14131200,-1914.6438891402322
14438400,-2270.2109708561393
14745600,-1954.3638196777965
15052800,-2105.418663958397
15360000,-1868.6580510176714
15667200,-2266.89550160473
15974400,-1983.6961597877078
16281600,-2078.462237017845
16588800,-2042.685754010873
16896000,-2336.330981853093
17203200,-2074.8063294562216
17510400,-1832.8764033727753
17817600,-1930.9021660163376
18124800,-2172.6419345149047
18432000,-2296.0422937085186
18739200,-2210.548437679734
19046400,-1979.2734043454127
19353600,-2240.6299822425167
19660800,-2230.353595906025
19968000,-2318.0921223780224
20275200,-2057.499110544467
20582400,-1845.6044147791642
20889600,-2007.6093968901437
21196800,-2468.274689563745
21504000,-2495.2982632327307
21811200,-2522.631827014029
22118400,-3009.9464649003635
22425600,-2392.960183221023
22732800,-2798.332872994239
23040000,-2743.3098417423107
23347200,-1872.9010507832525
23654400,-2078.1261739300417
23961600,-2589.1912393961857
24268800,-2242.750745689062
24576000,-2547.1433941346213
24883200,-2361.8693035307037
