307200,-1378.428262124815
Saving model weights at episode 25 with average episode reward -1378.428262124815
614400,-1391.5016490351766
921600,-1311.49304570902
Saving model weights at episode 75 with average episode reward -1311.49304570902
1228800,-1198.8676799578998
Saving model weights at episode 100 with average episode reward -1198.8676799578998
1536000,-1251.17459079464
1843200,-1249.4763912346793
2150400,-1185.800338570477
Saving model weights at episode 175 with average episode reward -1185.800338570477
2457600,-1270.2214042983294
2764800,-1287.3300403015173
3072000,-1209.3211193070304
3379200,-1253.3778450636582
3686400,-1160.4552071911235
Saving model weights at episode 300 with average episode reward -1160.4552071911235
3993600,-1245.4203778336748
4300800,-1246.454677567067
4608000,-1192.1614932299622
4915200,-1267.0742846613912
5222400,-1182.2402095201824
5529600,-1188.5645491200992
5836800,-1177.150870842112
6144000,-1149.6909093852607
Saving model weights at episode 500 with average episode reward -1149.6909093852607
6451200,-1205.2212070727173
6758400,-1249.6382429170333
7065600,-1194.2299589002284
7372800,-1172.6009112818801
7680000,-1195.3918764330592
7987200,-1321.5482762041165
8294400,-1294.8020585811885
8601600,-1176.808242340343
8908800,-1338.8632556459527
9216000,-1179.6441955771525
9523200,-1192.8337480002165
9830400,-1245.3613612944318
10137600,-1354.4594299066225
10444800,-1295.0616117865725
10752000,-1297.5512022261837
11059200,-1327.689080673511
11366400,-1239.7210100210384
11673600,-1324.8217320431186
11980800,-1176.6386487022617
12288000,-1320.4861357481839
12595200,-1335.5390498499814
12902400,-1256.43474172509
13209600,-1153.878334368149
13516800,-1228.6795488138162
13824000,-1264.0470860549726
14131200,-1244.650117652079
14438400,-1280.7842100242103
14745600,-1249.3513456384387
15052800,-1286.9742312919882
15360000,-1213.665733269563
15667200,-1207.9347427160317
15974400,-1329.3567529957966
16281600,-1252.0700211934604
16588800,-1196.6423796765146
16896000,-1263.8384475933383
17203200,-1116.988065540275
Saving model weights at episode 1400 with average episode reward -1116.988065540275
17510400,-1188.4468890997055
17817600,-1203.8377203472924
18124800,-1193.7506971372334
18432000,-1254.1640450099442
18739200,-1763.8860256252915
19046400,-1016.5264867592022
Saving model weights at episode 1550 with average episode reward -1016.5264867592022
19353600,-1399.8887522808461
19660800,-956.7635575420552
Saving model weights at episode 1600 with average episode reward -956.7635575420552
19968000,-1076.3691455767841
20275200,-1080.3482553543888
20582400,-1241.4116083177196
20889600,-1240.1089517898968
21196800,-1222.4847165047092
21504000,-1197.0344195209848
21811200,-1181.1934904835357
22118400,-1182.2024623945533
22425600,-1208.3292442713193
22732800,-1201.7691086758653
23040000,-1164.4882208987326
23347200,-1246.3387276781095
23654400,-1208.1726280553453
23961600,-1224.911740742388
24268800,-1226.3325504067925
24576000,-1318.5836359037223
24883200,-1234.7186771808438
